,nome_candidato,uf,partido,estrelas_legisla_int,tempo_mandato,em_exercicio,tipo,gasto_gabinete,producao_legislativa,fiscalizacao,mobilizaca,alinhamento_partidario
257,Ivan Valente,SP,PSOL,5,3,Sim,TITULAR,134868.35,6.6,4.2,5.8,9.1
258,Jandira Feghali,RJ,PCdoB,5,3,Sim,TITULAR,173005.31,5.6,3.8,6.4,9.1
259,Jaqueline Cassol,RO,PP,3,3,Sim,TITULAR,222017.53,3.6,1.5,3.9,6.4
260,Jefferson Campos,SP,PL,2,3,Sim,TITULAR,182486.73,3.2,2.4,0.9,0.9
261,Jerônimo Goergen,RS,PP,4,3,Sim,TITULAR,176955.60,5.0,1.1,7.3,5.5
262,Jéssica Sales,AC,MDB,2,3,Sim,TITULAR,207278.46,2.7,0.4,2.1,1.8
263,Jesus Sérgio,AC,PDT,3,3,Sim,TITULAR,219906.43,4.1,2.5,3.3,4.5
264,Jhonatan de Jesus,RR,REPUBLICANOS,2,3,Sim,TITULAR,166152.99,3.0,0.2,2.4,8.2
265,João Campos,GO,REPUBLICANOS,2,3,Sim,TITULAR,170014.50,2.8,0.7,2.7,7.3
266,João Carlos Bacelar,BA,PL,2,3,Sim,TITULAR,188623.26,1.8,0.5,2.1,9.1
267,João Daniel,SE,PT,4,3,Sim,TITULAR,230772.59,6.0,2.7,6.1,8.2
268,João H. Campos,PE,PSB,3,1,Não,TITULAR,0.00,3.9,2.4,5.2,8.2
269,João Maia,RN,PL,3,3,Sim,TITULAR,253270.04,3.2,1.1,2.1,10.0
270,João Marcelo Souza,MA,MDB,2,3,Não,TITULAR,87128.82,1.7,0.2,1.8,9.1
271,João Roma,BA,PL,3,3,Sim,TITULAR,44090.47,3.2,0.5,2.4,8.2
272,Joaquim Passarinho,PA,PL,3,3,Sim,TITULAR,208095.88,3.9,1.6,3.0,3.6
273,Joenia Wapichana,RR,REDE,4,3,Sim,TITULAR,265588.70,5.2,2.7,5.8,10.0
274,Joice Hasselmann,SP,PSDB,3,3,Sim,TITULAR,210037.24,4.2,2.0,3.3,0.9
275,Jones Moura,RJ,PSD,1,0,Sim,SUPLENTE,186322.70,0.5,0.2,0.9,10.0
276,Jorge Braz,RJ,REPUBLICANOS,2,3,Sim,SUPLENTE,215725.50,2.3,1.1,1.5,9.1
277,Jorge Goetten,SC,PL,1,0,Não,SUPLENTE,0.00,0.5,0.0,0.3,10.0
278,Jorge Solla,BA,PT,5,3,Sim,TITULAR,208751.13,5.5,4.4,6.4,9.1
279,José Airton Félix Cirilo,CE,PT,3,3,Sim,TITULAR,214633.53,4.4,0.7,3.6,8.2
280,José Guimarães,CE,PT,4,3,Sim,TITULAR,192419.77,6.9,2.2,4.8,8.2
281,Jose Mario Schreiner,GO,MDB,3,3,Sim,TITULAR,203420.19,4.2,1.8,2.1,6.4
282,José Medeiros,MT,PL,4,3,Sim,TITULAR,242648.46,7.2,0.9,3.9,0.9
283,José Nelto,GO,PP,4,3,Sim,TITULAR,222666.86,6.0,1.3,6.1,6.4
284,José Nunes,BA,PSD,2,3,Não,TITULAR,106860.87,1.6,0.0,0.9,6.4
285,José Priante,PA,MDB,2,3,Sim,TITULAR,106848.90,1.4,0.2,0.6,8.2
286,José Ricardo,AM,PT,4,3,Sim,TITULAR,196234.74,5.7,3.3,5.8,7.3
287,José Rocha,BA,UNIÃO,2,3,Sim,TITULAR,210157.31,1.9,0.2,3.9,9.1
288,Joseildo Ramos,BA,PT,3,3,Sim,SUPLENTE,196915.04,3.6,2.2,4.8,8.2
289,Josimar Maranhãozinho,MA,PL,2,3,Não,TITULAR,108584.73,1.4,0.0,0.9,9.1
290,Josivaldo JP,MA,PSD,2,1,Sim,SUPLENTE,140261.97,0.9,0.2,1.2,10.0
291,Juarez Costa,MT,MDB,2,3,Sim,TITULAR,202073.82,2.5,1.5,1.8,4.5
292,Julian Lemos,PB,UNIÃO,2,3,Sim,TITULAR,150494.66,3.0,1.1,1.8,5.5
293,Júlio Cesar,PI,PSD,2,3,Sim,TITULAR,225182.29,2.6,0.9,2.1,9.1
294,Julio Cesar Ribeiro,DF,REPUBLICANOS,5,3,Sim,TITULAR,192418.37,7.2,2.0,6.1,9.1
295,Júlio Delgado,MG,PV,3,3,Sim,TITULAR,195327.30,4.2,2.4,3.3,1.8
296,Julio Lopes,RJ,PP,2,0,Não,SUPLENTE,84990.05,1.0,0.9,1.5,10.0
297,Juninho do Pneu,RJ,UNIÃO,4,3,Sim,TITULAR,187270.15,5.1,0.7,4.8,9.1
298,Junio Amaral,MG,PL,3,3,Sim,TITULAR,131245.68,4.1,0.7,2.4,3.6
299,Júnior Ferrari,PA,PSD,2,3,Sim,TITULAR,58419.19,2.8,0.2,1.8,2.7
300,Junior Lourenço,MA,PL,2,3,Sim,TITULAR,179882.93,1.0,0.0,1.5,10.0
301,Júnior Mano,CE,PL,3,3,Sim,TITULAR,172803.01,3.1,0.4,3.6,9.1
302,Juscelino Filho,MA,UNIÃO,2,3,Sim,TITULAR,260120.96,2.3,0.9,2.4,9.1
303,Kim Kataguiri,SP,UNIÃO,5,3,Sim,TITULAR,53284.77,9.0,3.3,6.1,0.9
304,Laercio Oliveira,SE,PP,3,3,Sim,TITULAR,192130.77,3.4,1.5,4.5,7.3
305,Lafayette de Andrada,MG,REPUBLICANOS,3,3,Sim,TITULAR,227746.88,4.1,0.2,3.9,9.1
306,Laura Carneiro,RJ,UNIÃO,1,0,Não,SUPLENTE,0.00,0.6,0.7,0.6,10.0
